Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Tomasz Adamiec,M,26.0,171.0,69.5,Poland,POL,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
Tomasz Adamiec,M,30.0,171.0,69.5,Poland,POL,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,
"Sabine Heidrun Adamik (Picken-, -Bothe)",F,32.0,172.0,68.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,
Zoltn Adamik,M,23.0,175.0,71.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,
Zoltn Adamik,M,23.0,175.0,71.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,
Pirouz Adamiyat,M,23.0,190.0,80.0,Iran,IRI,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Individual",
Nafissatou Moussa Adamou,F,14.0,172.0,72.0,Niger,NIG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,
Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horse Vault,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Rings,
Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Pommelled Horse,
Tatyana Pavlovna Adamovich,F,29.0,163.0,54.0,United States,USA,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",
Tadeusz Ralf Adamowski,M,26.0,177.0,70.0,Poland,POL,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,
Anne Wilma Adams (-King),F,16.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Butterfly,
Anne Wilma Adams (-King),F,16.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Individual Medley,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
April Jane Adams,F,19.0,,,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Platform,
"Bartlett S. ""Bart"" Adams",M,38.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,
"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
"Robert ""Bob"" Adams",M,27.0,,,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Decathlon,
Brian Adams,M,27.0,183.0,67.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,
Bridget Shirley Adams (-Bengough),F,19.0,,,Great Britain,GBR,1948 Winter,1948,Winter,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,
Natalie Cammile Adams (-Brannan),F,20.0,173.0,65.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,
Natalie Cammile Adams (-Brannan),F,24.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,
David Dixie Adams,M,30.0,188.0,79.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,
Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 220 yard Freestyle,
Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 880 yard Freestyle,
Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's One Mile Freestyle,
Edgar Holmes Adams,M,36.0,,,New York Athletic Club #2-4,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,
Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
Edward Adams,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Boxing,Boxing Men's Featherweight,
"Francis ""Frank"" Adams",M,22.0,169.0,68.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
"Francis ""Frank"" Adams",M,26.0,169.0,68.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
"Frederick Thomas ""Fred"" Adams",M,,,,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Featherweight,
"Gerard ""Gerry"" Adams",M,38.0,177.0,70.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",
"Gerard ""Gerry"" Adams",M,38.0,177.0,70.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",
Harry Lester Adams,M,31.0,,,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",
Harry Lester Adams,M,31.0,,,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",
Harry Lester Adams,M,31.0,,,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",
Harry Lester Adams,M,31.0,,,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
Harry Lester Adams,M,39.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",
John E. Adams,M,24.0,178.0,95.0,Dominican Republic,DOM,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Heavyweight,
"Judith C. ""Judi"" Adams",F,37.0,,,United States,USA,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Individual,
"Judith C. ""Judi"" Adams",F,37.0,,,United States,USA,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Team,
Keith Adams,M,22.0,167.0,75.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middleweight,
Lennox Adams,M,20.0,,,Saint Vincent and the Grenadines,VIN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,
Liam Adams,M,29.0,178.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
Luke Kendall Adams,M,27.0,189.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,
Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,
Luke Kendall Adams,M,35.0,189.0,70.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,
Lynda Riley Adams (-Hunt),F,16.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Springboard,
Lynda Riley Adams (-Hunt),F,16.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Platform,
Lyukman Rasakovich Adams,M,23.0,194.0,87.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,
Mareike Adams,F,26.0,174.0,73.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,
Maureen Adams,F,38.0,169.0,68.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,
"Morgan Orlando Adams, Jr.",M,20.0,,,Mystery,USA,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed 6 metres,
Adrian Neil Adams,M,21.0,178.0,78.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
Adrian Neil Adams,M,25.0,178.0,78.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
Adrian Neil Adams,M,29.0,178.0,78.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,
Nelson Luis Adams,M,21.0,,81.0,Puerto Rico,PUR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,
Nicola Virginia Adams,F,29.0,164.0,51.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
Odalys Adams Castillo,F,25.0,171.0,59.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,
Paul Adams,M,24.0,185.0,98.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,
"Phillip Maxwell ""Phil"" Adams",M,39.0,163.0,93.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",
"Phillip Maxwell ""Phil"" Adams",M,43.0,163.0,93.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",
"Phillip Maxwell ""Phil"" Adams",M,43.0,163.0,93.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",
"Phillip Maxwell ""Phil"" Adams",M,46.0,163.0,93.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",
"Phillip Maxwell ""Phil"" Adams",M,46.0,163.0,93.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",
"Phillip Maxwell ""Phil"" Adams",M,50.0,163.0,93.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",
"Phillip Maxwell ""Phil"" Adams",M,50.0,163.0,93.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",
Platt Adams,M,23.0,188.0,78.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Standing High Jump,
Platt Adams,M,23.0,188.0,78.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Standing Long Jump,
Platt Adams,M,23.0,188.0,78.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Triple Jump,
Platt Adams,M,23.0,188.0,78.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Discus Throw,
Platt Adams,M,23.0,188.0,78.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's Discus Throw, Greek Style",
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's High Jump,
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,
Rachael Alexis Adams,F,26.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
Ralph Andrew Adams,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
Ralph Andrew Adams,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
Ralph Andrew Adams,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,
Robert P. Adams,M,17.0,188.0,85.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
Walter Adams,M,23.0,172.0,67.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,
Walter Adams,M,27.0,172.0,67.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,
Wayman Elbridge Adams,M,48.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
William T. Adams,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",
"William Edward ""Willie"" Adams",M,19.0,198.0,93.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,
"Birgitta Ann-Agnes ""Bride"" Adams-Ray",F,21.0,,,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's High Jump,
Valerie Kasanita Adams-Vili (-Price),F,19.0,193.0,120.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
Morten Gundro Adamsen,M,22.0,181.0,84.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,
Antoni Adamski,M,20.0,179.0,74.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
Filip Kamil Adamski,M,25.0,189.0,87.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
Herbert Adamski,M,26.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
Jerzy Adamski,M,23.0,171.0,58.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
Tadeusz Adamski,M,29.0,,,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
Per Anders Adamson,M,22.0,177.0,68.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",
Per Anders Adamson,M,22.0,177.0,68.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,
Derrick Adamson,M,26.0,177.0,72.0,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,
Derrick Adamson,M,30.0,177.0,72.0,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,
"James Nicholas ""Nick"" Adamson",M,27.0,183.0,74.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed One Person Dinghy,
Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",
Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,
Gsta Napoleon Adamsson,M,27.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,
Charles Adamu,M,23.0,170.0,81.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Heavyweight,
Mamudu Adamu,M,27.0,,,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,
Dariusz Adamus,M,23.0,185.0,94.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,
Jos Carlos Adn Arias,M,25.0,166.0,57.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",
Nenita Adan,F,23.0,160.0,49.0,Philippines,PHI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,
Aboukar Hassan Adani,M,20.0,165.0,59.0,Somalia,SOM,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",
Aboukar Hassan Adani,M,28.0,165.0,59.0,Somalia,SOM,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",
Yasemin Adar,F,24.0,180.0,75.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",
Juan Bautista Adarraga Elizarn,M,24.0,183.0,,Spain,ESP,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 800 metres,
Juan Bautista Adarraga Elizarn,M,24.0,183.0,,Spain,ESP,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 1,500 metres",
Orhan Ada,M,20.0,,,Turkey,TUR,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Individual",
Orhan Ada,M,20.0,,,Turkey,TUR,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",
"Christopher Thomas ""Chris"" Adcock",M,23.0,183.0,80.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Badminton,Badminton Mixed Doubles,
"Christopher Thomas ""Chris"" Adcock",M,27.0,183.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
"Frances ""Fran"" Adcock",F,20.0,178.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,
"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25.0,167.0,,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
"William Arthur ""Bill"" Adcocks",M,26.0,168.0,55.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Marathon,
Berkane Lakhdar Adda,M,21.0,178.0,78.0,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Middleweight,
Elie Adda,M,,,,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Individual",
Elie Adda,M,,,,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",
Mehdi Addadi,M,28.0,179.0,70.0,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,
Mehdi Addadi,M,28.0,179.0,70.0,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
"Edith Addams de Habbelinck (-Lutjens, -Taylor, -Bel Geddes)",F,20.0,,,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual",
Jenny Marie Beatrice Addams,F,19.0,,,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual",
Jenny Marie Beatrice Addams,F,23.0,,,Belgium,BEL,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Individual",
Jenny Marie Beatrice Addams,F,27.0,,,Belgium,BEL,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Women's Foil, Individual",
Jenny Marie Beatrice Addams,F,39.0,,,Belgium,BEL,1948 Summer,1948,Summer,London,Fencing,"Fencing Women's Foil, Individual",
Jean Renaud Adde,M,37.0,181.0,70.0,France,FRA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
Jean Renaud Adde,M,37.0,181.0,70.0,France,FRA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
Yannick Adde,M,22.0,195.0,115.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Keelboat,
Hamida Addche,M,28.0,164.0,56.0,France,FRA,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 10,000 metres",
Corran Descy Addison,M,23.0,170.0,65.0,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
Roy Addison,M,21.0,177.0,75.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Middleweight,
"Joseph ""Joe"" Addo",M,24.0,182.0,81.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
Simon Addo,M,17.0,180.0,79.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
Simon Addo,M,21.0,180.0,79.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
Charles Addo-Odametey,M,27.0,170.0,67.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,
Charles Addo-Odametey,M,31.0,170.0,67.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,
Eugene Addor,M,,,,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
"Robert Charles ""Bob"" Addy",M,23.0,191.0,76.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,
Ebenezer Charles O. Addy,M,23.0,178.0,70.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,
James Aryee Addy,M,20.0,183.0,75.0,Ghana,GHA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,
James Aryee Addy,M,24.0,183.0,75.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,
James Aryee Addy,M,24.0,183.0,75.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,
James Aryee Addy,M,28.0,183.0,75.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,
James Aryee Addy,M,28.0,183.0,75.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
James Aryee Addy,M,32.0,183.0,75.0,Ghana,GHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,
James Aryee Addy,M,32.0,183.0,75.0,Ghana,GHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
Jangy McKinley Addy,M,23.0,188.0,88.0,Liberia,LBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,
Jangy McKinley Addy,M,27.0,188.0,88.0,Liberia,LBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,
Mercy Addy,F,20.0,161.0,58.0,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres,
Mercy Addy,F,20.0,161.0,58.0,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,
